X,Y,Pop,ele,Distance=5000 Number of People=1000,Distance=10000 Number of People=1000,Distance=15000 Number of People=1000,Distance=20000 Number of People=1000,Distance=25000 Number of People=1000,Distance=30000 Number of People=2000,Distance=35000 Number of People=2000,Distance=40000 Number of People=2000,Distance=45000 Number of People=2000,Distance=50000 Number of People=3000
,,,10707,10707,11507,27231,27239,28314,28316,28379,28379,28394,28394
4161430.214,-843846.9251,20.2435353,0,0,0,0,0,0,0,0,0,0,0
4624341.184,1327521.828,708.2364317,0,0,0,0,0,0,0,0,0,0,0
3245671.554,-3064756.401,426.1718161,0,0,0,0,0,0,0,0,0,0,0
4322442.724,-793443.8469,8218.875331,1,1,1,1,1,1,1,1,1,1,1
3859531.754,-2820401.506,16377.44693,1,1,1,1,1,1,1,1,1,1,1
1937444.898,-3064756.401,133.485633,0,0,0,0,0,0,0,0,0,0,0
2682127.764,-2257661.907,74.70610427,0,0,0,0,0,0,0,0,0,0,0
4201683.341,-763226.4783,10292.71306,1,1,1,1,1,1,1,1,1,1,1
3124912.171,-2942063.361,15296.7943,1,1,1,1,1,1,1,1,1,1,1
1856938.643,-522058.3793,4151.025468,1,1,1,1,1,1,1,1,1,1,1
4392885.698,-763226.4783,13551.92224,1,1,1,1,1,1,1,1,1,1,1
3034342.633,-2504209.624,203.5741341,0,0,0,0,0,0,0,0,0,0,0
1746242.541,-2353724.392,3.467159298,0,0,0,0,0,0,0,0,0,0,0
3607949.705,-1784382.805,2218.172486,1,1,1,1,1,1,1,1,1,1,1
2672064.482,-2257661.907,74.70610427,0,0,0,0,0,0,0,0,0,0,0
1585230.03,-1982875.869,29.47085403,0,0,0,0,0,0,0,0,0,0,0
4010480.983,1687502.526,1050.930549,1,1,1,1,1,1,1,1,1,1,1
3406684.066,-3451114.802,24071.14243,1,1,1,1,1,1,1,1,1,1,1
5294.7609,679364.5422,1923.490579,1,1,1,1,1,1,1,1,1,1,1
3557633.296,-2504209.624,269.6319877,0,0,0,0,0,0,0,0,0,0,0
3819278.626,-2162100.326,11622.93622,1,1,1,1,1,1,1,1,1,1,1
3628076.269,1512050.295,5308.08989,1,1,1,1,1,1,1,1,1,1,1
3024279.351,-1888626.123,3566.970899,1,1,1,1,1,1,1,1,1,1,1
2853203.558,-3957418.322,1622.731146,1,1,1,1,1,1,1,1,1,1,1
2772697.302,-2809390.612,295.0891119,0,0,0,0,0,0,0,0,0,0,0
3557633.296,-3313459.545,39019.93844,1,1,1,1,1,1,1,1,1,1,1
2692191.046,-2257661.907,91.51497773,0,0,0,0,0,0,0,0,0,0,0
2762634.02,-3428069.384,123.5646094,0,0,0,0,0,0,0,0,0,0,0
2621748.072,-712902.7266,6014.997883,1,1,1,1,1,1,1,1,1,1,1
-1151982.666,1470939.006,321.7084559,0,0,0,0,0,0,0,0,0,0,0
3799152.062,78296.1905,88305.95424,1,1,1,1,1,1,1,1,1,1,1
3245671.554,-2820401.506,355.5634679,0,0,0,0,0,0,0,0,0,0,0
3618012.987,1728967.278,889991.7175,1,1,1,1,1,1,1,1,1,1,1
1887128.488,-3370637.239,95.82561546,0,0,0,0,0,0,0,0,0,0,0
4161430.214,1286672.955,39161.41247,1,1,1,1,1,1,1,1,1,1,1
196497.1181,810224.6548,8280.246048,1,1,1,1,1,1,1,1,1,1,1
-558249.0296,1103487.732,6746.917676,1,1,1,1,1,1,1,1,1,1,1
2903519.968,-1993374.296,1396.933638,1,1,1,1,1,1,1,1,1,1,1
2762634.02,-3660461.822,152.5644667,0,0,0,0,0,0,0,0,0,0,0
2662001.2,-2257661.907,82.17671469,0,0,0,0,0,0,0,0,0,0,0
3376494.22,-3211162.54,1083.081627,1,1,1,1,1,1,1,1,1,1,1
3326177.81,-2975420.541,3336.244454,1,1,1,1,1,1,1,1,1,1,1
3265798.118,-2225753.607,1135.077014,1,1,1,1,1,1,1,1,1,1,1
2772697.302,-975155.1674,1975.182183,1,1,1,1,1,1,1,1,1,1,1
3064532.478,-2151512.226,381.654815,0,0,0,0,0,0,0,0,0,0,0
3718645.807,-411799.1734,99764.64051,1,1,1,1,1,1,1,1,1,1,1
3255734.837,-2975420.541,665.7358548,0,0,0,0,0,0,0,0,0,0,0
1243078.442,428481.8195,9235.507648,1,1,1,1,1,1,1,1,1,1,1
2903519.968,-1188186.238,1489.243849,1,1,1,1,1,1,1,1,1,1,1
-467679.4923,629114.5628,6071.327518,1,1,1,1,1,1,1,1,1,1,1
3537506.732,18318.7092,19432.83586,1,1,1,1,1,1,1,1,1,1,1
1867001.924,-491973.2452,5451.696232,1,1,1,1,1,1,1,1,1,1,1
3889721.601,-11669.0679,53207.42042,1,1,1,1,1,1,1,1,1,1,1
2953836.377,-301666.0331,1779.356287,1,1,1,1,1,1,1,1,1,1,1
-45021.6489,689419.6163,402238.9569,1,1,1,1,1,1,1,1,1,1,1
-407299.8002,609025.9328,6601.378307,1,1,1,1,1,1,1,1,1,1,1
166307.2717,800146.8278,19762.85033,1,1,1,1,1,1,1,1,1,1,1
2682127.764,-3555344.922,25.21726723,0,0,0,0,0,0,0,0,0,0,0
-1504197.535,1812118.492,76808.13742,1,1,1,1,1,1,1,1,1,1,1
2199090.23,-3532107.308,51.69539781,0,0,0,0,0,0,0,0,0,0,0
2702254.328,-2257661.907,70.97079905,0,0,0,0,0,0,0,0,0,0,0
3366430.938,-2666966.521,10143.64574,1,1,1,1,1,1,1,1,1,1,1
3940038.01,48306.9014,13910.56653,1,1,1,1,1,1,1,1,1,1,1
921053.4194,1307090.611,44754.67277,1,1,1,1,1,1,1,1,1,1,1
3396620.784,-3416562.319,3641.373387,1,1,1,1,1,1,1,1,1,1,1
3557633.296,278303.1195,6231.317573,1,1,1,1,1,1,1,1,1,1,1
3597886.423,28314.6929,66614.6059,1,1,1,1,1,1,1,1,1,1,1
3638139.551,1728967.278,24420.77597,1,1,1,1,1,1,1,1,1,1,1
3366430.938,-61649.6198,63359.75241,1,1,1,1,1,1,1,1,1,1,1
2098457.41,-3648737.243,252.1726723,0,0,0,0,0,0,0,0,0,0,0
2007887.872,-3042369.408,1.733579649,0,0,0,0,0,0,0,0,0,0,0
2943773.095,-3279272.657,47.91280773,0,0,0,0,0,0,0,0,0,0,0
3628076.269,1749727.004,922.2855664,0,0,0,0,0,0,0,0,0,0,0
4101050.522,-141627.9028,8722921.666,1,1,1,1,1,1,1,1,1,1,1
3004152.787,-1909534.372,1884.857827,1,1,1,1,1,1,1,1,1,1,1
-588438.8756,971768.7718,727.6968466,0,0,0,0,0,0,0,0,0,0,0
4352632.571,-391766.5822,173.7993201,0,0,0,0,0,0,0,0,0,0,0
2651937.918,-2257661.907,70.97079905,0,0,0,0,0,0,0,0,0,0,0
4060797.393,-411799.1734,1574.49719,1,1,1,1,1,1,1,1,1,1,1
3205418.426,-2986556.834,3759.894543,1,1,1,1,1,1,1,1,1,1,1
3084659.043,-2088105.308,340.1276071,0,0,0,0,0,0,0,0,0,0,0
4322442.724,1002125.965,608279.7213,1,1,1,1,1,1,1,1,1,1,1
3336241.092,-3245174.06,4656.368393,1,1,1,1,1,1,1,1,1,1,1
-1755779.584,1822533.77,3999.021226,1,1,1,1,1,1,1,1,1,1,1
3457000.476,-2798387.757,2246.85851,1,1,1,1,1,1,1,1,1,1,1
3004152.787,-3211162.54,810.7351413,0,0,0,0,0,0,0,0,0,0,0
870737.0096,1399141.133,252468.1185,1,1,1,1,1,1,1,1,1,1,1
3698519.243,-2172694.306,2985.724877,1,1,1,1,1,1,1,1,1,1,1
3134975.453,-3075963.344,6466.96818,1,1,1,1,1,1,1,1,1,1,1
1846875.361,-2493416.423,3.467159298,0,0,0,0,0,0,0,0,0,0,0
2712317.61,-2257661.907,70.97079905,0,0,0,0,0,0,0,0,0,0,0
4201683.341,759855.6608,88326.44376,1,1,1,1,1,1,1,1,1,1,1
